time,col2,col3,chosen,state
0.0,0,0,0,pos_pos
0.010120088,-1,-1,-1,neg_neg
0.01202493,-1,-1,-1,neg_neg
0.014101545,-1,-2,-2,neg_neg
0.016043699,-1,-2,-2,neg_neg
0.01800555,-1,-2,-2,neg_neg
0.020012781,-1,-2,-2,neg_neg
0.021919642,-1,-3,-3,neg_neg
0.023880619,-1,-3,-3,neg_neg
0.025858145,-1,-3,-3,neg_neg
0.027857145,-1,-3,-3,neg_neg
0.029903202,-1,-4,-4,neg_neg
0.031883471,-1,-4,-4,neg_neg
0.033828143,-1,-4,-4,neg_neg
0.035836746,-1,-5,-5,neg_neg
0.037836702,-1,-5,-5,neg_neg
0.039854458,-1,-5,-5,neg_neg
0.04185885,-1,-6,-6,neg_neg
0.043866661,-1,-6,-6,neg_neg
0.04580827,-1,-6,-6,neg_neg
0.047887815,-1,-6,-6,neg_neg
0.049802647,-1,-7,-7,neg_neg
0.051789324,-1,-7,-7,neg_neg
0.053868885,-1,-7,-7,neg_neg
0.055834954,-1,-7,-7,neg_neg
0.057844678,-1,-7,-7,neg_neg
0.059846596,-1,-7,-7,neg_neg
0.06178386,-1,-7,-7,neg_neg
0.063785449,-1,-7,-7,neg_neg
0.065794488,-1,-7,-7,neg_neg
0.067828684,-1,-7,-7,neg_neg
0.069808214,-1,-7,-7,neg_neg
0.071807024,-1,-7,-7,neg_neg
0.073794686,-1,-7,-7,neg_neg
0.075896698,-1,-8,-8,neg_neg
0.077859251,-1,-8,-8,neg_neg
0.079841404,-1,-8,-8,neg_neg
0.081835758,-1,-8,-8,neg_neg
0.0838507,-1,-8,-8,neg_neg
0.085870767,-1,-8,-8,neg_neg
0.087815778,-1,-8,-8,neg_neg
0.25339555,1,-7,1,pos_pos
0.255424589,1,-7,1,pos_pos
0.257455258,1,-7,1,pos_pos
0.259420404,2,-7,2,pos_pos
0.261445655,2,-7,2,pos_pos
0.263397781,3,-7,3,pos_pos
0.265333091,3,-7,3,pos_pos
0.26743368,3,-7,3,pos_pos
0.269486636,4,-6,4,pos_pos
0.271388742,4,-7,4,pos_pos
0.273416031,4,-6,4,pos_pos
0.27561375,5,-6,5,pos_pos
0.277456178,5,-6,5,pos_pos
0.279618545,5,-6,5,pos_pos
0.281503377,6,-6,6,pos_pos
0.28349064,6,-7,6,pos_pos
0.285487333,6,-6,6,pos_pos
0.287446694,6,-6,6,pos_pos
0.289521113,7,-7,7,pos_pos
0.29149324,7,-6,7,pos_pos
0.293444928,7,-6,7,pos_pos
0.295466816,7,-6,7,pos_pos
0.297359245,8,-6,8,pos_pos
0.299604049,8,-6,8,pos_pos
0.301358502,8,-6,8,pos_pos
0.303382384,8,-6,8,pos_pos
0.305434722,9,-6,9,pos_pos
0.307341407,9,-5,9,pos_pos
0.309364403,9,-6,9,pos_pos
0.311472182,9,-5,9,pos_pos
0.313375581,9,-5,9,pos_pos
0.315339269,9,-5,9,pos_pos
0.31734781,9,-5,9,pos_pos
0.319322122,9,-5,9,pos_pos
0.321341122,9,-5,9,pos_pos
0.323346947,9,-5,9,pos_pos
0.325306755,9,-5,9,pos_pos
0.327360291,10,-4,10,pos_pos
0.329315647,10,-5,10,pos_pos
0.331290929,10,-4,10,pos_pos
0.333346544,11,-4,11,pos_pos
0.335228041,11,-4,11,pos_pos
0.337278638,11,-4,11,pos_pos
0.339288499,12,-3,12,pos_pos
0.341303001,12,-3,12,pos_pos
0.343238033,13,-3,13,pos_pos
0.345252169,13,-3,13,pos_pos
0.347237651,14,-2,14,pos_pos
0.349255536,14,-2,14,pos_pos
0.351257705,15,-2,15,pos_pos
0.353232876,15,-1,15,pos_pos
0.355308826,16,-1,16,pos_pos
0.357296533,16,-1,16,pos_pos
0.359290052,17,-1,17,pos_pos
0.361230785,18,-1,18,pos_pos
0.363229983,19,0,19,pos_pos
0.36530276,19,0,19,pos_pos
0.367220895,20,0,20,pos_pos
0.369277512,20,0,20,pos_pos
0.371227266,21,0,21,pos_pos
0.372279222,21,1,1,pos_pos
0.374236245,22,1,1,pos_pos
0.376170801,23,1,1,pos_pos
0.378179156,23,1,1,pos_pos
0.380172419,24,1,1,pos_pos
0.382179985,25,2,2,pos_pos
0.384197323,26,2,2,pos_pos
0.386177535,26,2,2,pos_pos
0.388151025,27,2,2,pos_pos
0.390139162,27,2,2,pos_pos
0.392181507,28,2,2,pos_pos
0.394172164,29,3,3,pos_pos
0.396176502,29,3,3,pos_pos
0.398138638,30,3,3,pos_pos
0.400114568,30,4,4,pos_pos
0.402149735,31,4,4,pos_pos
0.404143963,31,5,5,pos_pos
