time,col2,col3,chosen,state
0.0,0,0,0,pos_pos
0.001861091,0,0,0,pos_pos
0.003757072,0,0,0,pos_pos
0.005770825,0,0,0,pos_pos
0.007895414,0,1,1,pos_pos
0.009757594,0,1,1,pos_pos
0.011796141,0,1,1,pos_pos
0.013792966,0,1,1,pos_pos
0.015787425,0,1,1,pos_pos
0.017731636,1,2,2,pos_pos
0.01975323,1,2,2,pos_pos
0.021752948,1,2,2,pos_pos
0.023752427,1,2,2,pos_pos
0.025748197,2,2,2,pos_pos
0.027735831,2,2,2,pos_pos
0.029759823,2,3,3,pos_pos
0.031825527,2,3,3,pos_pos
0.033885306,3,3,3,pos_pos
0.035803171,3,3,3,pos_pos
0.037833707,3,3,3,pos_pos
0.039685076,4,3,3,pos_pos
0.041810945,4,3,3,pos_pos
0.043775792,4,3,3,pos_pos
0.045782165,4,3,3,pos_pos
0.047779147,5,3,3,pos_pos
0.049787515,5,3,3,pos_pos
0.051782553,6,3,3,pos_pos
0.052816745,6,3,3,pos_pos
0.054806693,6,3,3,pos_pos
0.056809407,6,3,3,pos_pos
0.058839564,6,3,3,pos_pos
0.060728081,7,3,3,pos_pos
0.062764525,7,3,3,pos_pos
0.064771395,7,3,3,pos_pos
0.066814189,7,3,3,pos_pos
0.06877128,8,3,3,pos_pos
0.07080367,8,3,3,pos_pos
0.072849845,8,3,3,pos_pos
0.074779843,8,3,3,pos_pos
0.076766521,8,3,3,pos_pos
0.078808916,9,3,3,pos_pos
0.080687428,9,3,3,pos_pos
0.08273247,9,3,3,pos_pos
0.084683688,9,3,3,pos_pos
0.086708857,9,4,4,pos_pos
0.088627316,9,4,4,pos_pos
0.090628369,9,4,4,pos_pos
0.092660828,9,4,4,pos_pos
0.094638768,9,5,5,pos_pos
0.096614791,9,5,5,pos_pos
0.098753117,9,5,5,pos_pos
0.100659501,9,5,5,pos_pos
0.102644918,9,5,5,pos_pos
0.104637517,9,6,6,pos_pos
0.10661804,9,6,6,pos_pos
0.108562929,9,6,6,pos_pos
0.110561981,9,7,7,pos_pos
0.112589458,9,7,7,pos_pos
0.114576506,9,7,7,pos_pos
0.116619693,9,7,7,pos_pos
0.118595609,10,7,7,pos_pos
0.120595423,10,8,8,pos_pos
0.122593433,10,8,8,pos_pos
0.124648384,10,8,8,pos_pos
0.126598327,10,8,8,pos_pos
0.128611283,11,8,8,pos_pos
0.130549229,11,8,8,pos_pos
0.132605037,12,9,9,pos_pos
0.134549974,12,9,9,pos_pos
0.136581442,12,9,9,pos_pos
0.138511159,13,9,9,pos_pos
0.140568831,13,9,9,pos_pos
0.142593112,14,9,9,pos_pos
0.144541435,15,9,9,pos_pos
0.146580132,15,9,9,pos_pos
0.148578296,16,9,9,pos_pos
0.150543422,16,9,9,pos_pos
0.152552284,17,9,9,pos_pos
0.154573907,18,10,10,pos_pos
0.156523544,18,9,9,pos_pos
0.158500325,19,10,10,pos_pos
0.160500567,19,10,10,pos_pos
0.1625314,20,10,10,pos_pos
0.164524398,20,10,10,pos_pos
0.166464173,21,10,10,pos_pos
0.168486683,22,10,10,pos_pos
0.170503249,22,10,10,pos_pos
0.172535508,22,10,10,pos_pos
0.174523225,23,10,10,pos_pos
0.176559206,23,11,11,pos_pos
0.178549636,24,11,11,pos_pos
0.180469367,24,11,11,pos_pos
0.182489217,25,11,11,pos_pos
0.184476315,25,12,12,pos_pos
0.186439482,25,12,12,pos_pos
0.188526341,25,12,12,pos_pos
0.190486445,25,12,12,pos_pos
0.192444589,25,13,13,pos_pos
0.194421762,25,13,13,pos_pos
0.196519514,25,13,13,pos_pos
0.198496111,25,13,13,pos_pos
0.200432065,25,14,14,pos_pos
0.202506301,25,14,14,pos_pos
0.204458263,25,14,14,pos_pos
0.206453378,25,15,15,pos_pos
0.208428456,26,15,15,pos_pos
0.210436988,26,15,15,pos_pos
0.212353551,26,16,16,pos_pos
0.21446037,26,16,16,pos_pos
0.216354213,26,16,16,pos_pos
0.218439382,26,16,16,pos_pos
0.220354701,27,17,17,pos_pos
0.222458629,27,17,17,pos_pos
0.224464498,27,17,17,pos_pos
0.226513884,27,18,18,pos_pos
0.22844378,28,18,18,pos_pos
0.230396083,28,19,19,pos_pos
0.232434379,29,19,19,pos_pos
0.23445612,29,20,20,pos_pos
0.236401313,29,20,20,pos_pos
0.238366283,30,21,21,pos_pos
0.240319155,30,21,21,pos_pos
0.242379776,30,22,22,pos_pos
0.244391956,31,22,22,pos_pos
0.246391172,31,22,22,pos_pos
0.248422901,32,22,22,pos_pos
0.250395606,33,22,22,pos_pos
0.252374861,33,22,22,pos_pos
0.254365617,33,22,22,pos_pos
0.256355651,34,22,22,pos_pos
0.258353913,34,22,22,pos_pos
0.260356174,35,22,22,pos_pos
