time_s,rel_field.data2,rel_field.data3
0.0,0,0
0.001861091,0,0
0.003757072,0,0
0.005770825,0,0
0.007895414,0,1
0.009757594,0,1
0.011796141,0,1
0.013792966,0,1
0.015787425,0,1
0.017731636,1,2
0.01975323,1,2
0.021752948,1,2
0.023752427,1,2
0.025748197,2,2
0.027735831,2,2
0.029759823,2,3
0.031825527,2,3
0.033885306,3,3
0.035803171,3,3
0.037833707,3,3
0.039685076,4,3
0.041810945,4,3
0.043775792,4,3
0.045782165,4,3
0.047779147,5,3
0.049787515,5,3
0.051782553,6,3
0.052816745,6,3
0.054806693,6,3
0.056809407,6,3
0.058839564,6,3
0.060728081,7,3
0.062764525,7,3
0.064771395,7,3
0.066814189,7,3
0.06877128,8,3
0.07080367,8,3
0.072849845,8,3
0.074779843,8,3
0.076766521,8,3
0.078808916,9,3
0.080687428,9,3
0.08273247,9,3
0.084683688,9,3
0.086708857,9,4
0.088627316,9,4
0.090628369,9,4
0.092660828,9,4
0.094638768,9,5
0.096614791,9,5
0.098753117,9,5
0.100659501,9,5
0.102644918,9,5
0.104637517,9,6
0.10661804,9,6
0.108562929,9,6
0.110561981,9,7
0.112589458,9,7
0.114576506,9,7
0.116619693,9,7
0.118595609,10,7
0.120595423,10,8
0.122593433,10,8
0.124648384,10,8
0.126598327,10,8
0.128611283,11,8
0.130549229,11,8
0.132605037,12,9
0.134549974,12,9
0.136581442,12,9
0.138511159,13,9
0.140568831,13,9
0.142593112,14,9
0.144541435,15,9
0.146580132,15,9
0.148578296,16,9
0.150543422,16,9
0.152552284,17,9
0.154573907,18,10
0.156523544,18,9
0.158500325,19,10
0.160500567,19,10
0.1625314,20,10
0.164524398,20,10
0.166464173,21,10
0.168486683,22,10
0.170503249,22,10
0.172535508,22,10
0.174523225,23,10
0.176559206,23,11
0.178549636,24,11
0.180469367,24,11
0.182489217,25,11
0.184476315,25,12
0.186439482,25,12
0.188526341,25,12
0.190486445,25,12
0.192444589,25,13
0.194421762,25,13
0.196519514,25,13
0.198496111,25,13
0.200432065,25,14
0.202506301,25,14
0.204458263,25,14
0.206453378,25,15
0.208428456,26,15
0.210436988,26,15
0.212353551,26,16
0.21446037,26,16
0.216354213,26,16
0.218439382,26,16
0.220354701,27,17
0.222458629,27,17
0.224464498,27,17
0.226513884,27,18
0.22844378,28,18
0.230396083,28,19
0.232434379,29,19
0.23445612,29,20
0.236401313,29,20
0.238366283,30,21
0.240319155,30,21
0.242379776,30,22
0.244391956,31,22
0.246391172,31,22
0.248422901,32,22
0.250395606,33,22
0.252374861,33,22
0.254365617,33,22
0.256355651,34,22
0.258353913,34,22
0.260356174,35,22
0.262357423,35,22
0.264362061,36,23
0.266319773,37,23
0.268284957,37,23
0.2703102,37,24
0.272350307,37,25
0.274365819,37,25
0.276362112,37,26
0.278304907,37,27
0.28030689,37,28
0.282309175,37,29
0.284304408,37,30
0.286315635,37,31
0.288301046,36,32
0.290338409,36,33
0.292329202,35,35
0.294281918,35,36
0.296316803,35,37
0.29832578,34,38
0.300276735,34,40
0.302264217,33,41
0.304256999,33,43
0.306246678,32,44
0.308215875,32,45
0.3102153,31,47
0.312261411,31,48
0.314262158,31,50
0.316298489,31,51
0.318275159,32,53
0.320261896,32,54
0.322224848,32,56
0.324251809,33,57
0.326202108,33,58
0.3281706,34,60
0.330177232,34,61
0.332159615,35,63
0.334099865,36,64
0.336114341,37,65
0.338112682,38,67
0.34011403,39,68
0.342197837,40,69
0.344149437,41,70
0.346136021,42,71
0.34808652,44,72
0.350095493,45,73
0.352072137,47,74
0.354089486,48,75
0.356075825,50,76
0.358112747,52,77
0.360097155,54,78
0.362081871,55,78
0.364139963,57,79
0.366252842,59,80
0.368103524,61,81
0.370162397,63,81
0.372061628,64,82
0.374105786,66,83
0.376114562,67,84
0.378111928,68,84
0.380117863,71,85
0.382114013,73,86
0.384185659,75,86
0.386105896,76,87
0.388091838,78,87
0.390122774,79,88
0.392098088,81,89
0.394133755,82,89
0.396119686,84,90
0.398157851,86,90
0.400155469,87,91
0.402102845,89,92
0.404162436,90,92
0.406060051,91,93
0.408068593,93,94
0.410205638,93,94
0.412135312,95,95
0.414137783,96,95
0.416159254,98,96
0.41815643,99,97
0.42015034,101,98
0.422270228,102,98
0.424077965,103,99
0.426234081,104,100
0.428035139,105,100
0.43009036,106,101
0.432105523,107,101
0.434202487,108,102
0.436034262,110,102
0.438142475,110,103
0.440039013,111,104
0.442034123,111,105
0.443998508,112,105
0.446104115,112,106
0.44800435,112,106
0.450392838,112,107
0.452209763,112,108
0.454026521,113,108
0.455943221,113,109
0.457897247,113,109
0.459914808,113,109
0.461974608,113,110
0.463890316,113,110
0.466004392,113,111
0.467988611,113,111
0.469973179,113,112
0.472028134,113,112
0.473947967,113,112
0.47594548,113,113
0.478027903,113,113
0.48001934,113,113
0.481927559,113,113
0.483980923,113,114
0.48593589,114,114
0.487993249,114,114
0.489948454,114,115
0.492062538,115,115
0.493967598,115,115
0.495933014,115,115
0.497880892,115,115
0.500077884,116,115
0.501899483,116,116
0.503953432,116,116
0.505844213,117,117
0.507812538,118,117
0.509829421,118,117
0.51185228,118,118
0.513853891,118,118
0.5158013,119,119
0.517916486,119,120
0.519858216,119,120
0.521896602,119,121
0.523934742,119,121
0.525844772,120,122
0.527793611,120,122
0.529826881,120,123
0.531848755,120,124
0.533853177,120,125
0.535836709,120,126
0.537813586,120,127
0.539916468,120,128
0.541880133,119,129
0.543833033,120,130
0.545837955,119,131
0.547821291,119,132
0.549914261,119,134
0.55186042,119,135
0.553829262,119,136
0.555763597,119,137
0.557768093,120,138
0.559747967,120,140
0.561724218,121,141
0.563810234,121,142
0.56583036,122,143
0.567805625,123,145
0.569817458,124,146
0.571781608,124,147
0.573750728,125,148
0.575740473,126,149
0.577745885,127,151
0.579741972,128,152
0.581749067,129,153
0.583726184,131,154
0.585744302,132,155
0.587742116,133,156
0.589760797,134,158
0.59171305,135,158
0.593686334,137,159
0.595701613,138,160
0.597665587,140,161
0.599710148,141,162
0.601672565,143,163
0.60367024,144,164
0.605682338,146,164
0.60764829,147,165
0.609676217,149,166
0.611658066,150,166
0.613750453,152,167
0.615681889,153,168
0.617704132,154,169
0.619682254,156,169
0.621687587,158,170
0.623733054,159,170
0.625742222,160,171
0.627693328,162,171
0.629677747,163,172
0.631697639,165,172
0.633791854,167,173
0.635617483,167,173
0.637598429,170,174
0.63961073,171,175
0.641694136,172,175
0.643671052,173,176
0.645689396,174,176
0.647686271,176,177
0.649702324,177,178
0.651652429,177,178
0.653639617,178,178
0.655646626,179,179
0.657719391,179,179
0.659628883,179,180
0.661615315,179,180
0.663630447,180,181
0.665617378,180,181
0.667620123,180,181
0.669624785,180,182
0.67161188,180,182
0.673673652,180,182
0.675673724,179,183
0.677591556,179,183
0.679560116,179,183
0.68154411,179,183
0.683464096,179,184
0.685568868,179,184
0.687600418,179,184
0.689582113,179,184
0.69152509,179,185
0.693610256,179,185
0.695590202,179,185
0.697605541,179,185
0.699530744,179,185
0.701567447,179,185
0.703549321,179,186
0.705556567,179,186
0.707548854,179,186
0.709559464,179,186
0.711564845,180,186
0.713538277,180,186
0.715533857,181,187
0.717534085,181,187
0.719497862,182,187
0.7216501,183,188
0.723532653,183,188
0.725550702,184,188
0.727458158,185,188
0.729448244,185,189
0.731455592,186,189
0.73348846,187,189
0.735470163,187,190
0.737447965,188,190
0.739459726,188,191
0.74147162,189,191
0.74343771,189,192
0.745479855,190,193
0.747471992,190,193
0.749453103,190,194
0.751419898,190,194
0.753435909,190,195
0.755398343,190,196
0.757407405,190,197
0.759435981,190,197
0.761375999,190,198
0.76337214,189,199
0.76538766,189,200
0.767402384,189,201
0.769375254,189,202
0.771409689,189,203
0.773400597,189,204
0.775347117,189,205
0.777330052,189,206
0.779325502,189,207
0.781328251,189,208
0.783301357,189,210
0.785338098,189,211
0.787347977,189,212
0.789366805,188,214
0.791374157,188,215
0.793362474,188,216
0.795463131,188,218
0.797359744,187,219
0.799277107,187,220
0.801343572,187,221
0.803358638,187,223
0.805330133,187,225
0.807317453,187,226
0.809306182,187,227
0.811306472,187,230
0.813332982,188,231
0.815309175,188,232
0.817341128,189,234
0.81932732,190,235
0.821329259,191,236
0.823287086,192,237
0.825251291,194,239
0.82726236,195,239
0.829259179,197,241
0.83125202,198,242
0.833245644,200,243
0.835318215,201,243
0.837245324,203,245
0.839269352,205,246
0.841292409,206,247
0.843309758,208,247
0.845248154,210,248
0.847227289,212,249
0.84927189,214,249
0.851292805,216,250
0.853337215,218,250
0.85531723,219,251
0.85724555,221,251
0.859266702,223,252
0.861230883,224,252
0.863268966,226,252
0.865232762,228,253
0.86733138,229,253
0.869252063,231,253
0.871195144,232,254
0.873190943,233,254
0.875149923,235,254
0.877172363,236,255
0.879276251,238,255
0.881228683,239,255
0.88324395,241,256
0.885280856,242,256
0.887200184,243,257
0.889176316,244,257
0.891097863,245,257
0.893148254,246,258
0.895110391,247,259
0.897102969,248,259
0.899121927,248,260
0.901319383,249,260
0.903157171,249,262
0.905328545,249,262
0.907185504,249,263
0.909162698,249,263
0.911142167,249,264
0.91325982,249,265
0.915240333,249,266
0.917307515,249,266
0.91912525,248,267
0.92133868,248,268
0.923065115,248,269
0.925022061,247,270
0.927057571,247,271
0.929020245,247,272
0.931067613,246,272
0.933051889,246,273
0.93509196,246,274
0.937044193,246,275
0.939029217,246,275
0.940988225,246,276
0.943004487,246,276
0.945018463,246,277
0.947000171,246,278
0.949012442,247,279
0.951088575,247,279
0.953119147,248,279
0.955010889,248,279
0.957021307,249,280
0.958984705,249,281
0.961039063,250,281
0.963041243,251,281
0.965030203,253,282
0.967126449,253,282
0.969101101,254,283
0.971207764,255,283
0.972976518,256,283
0.974997326,257,283
0.976974965,258,284
0.979044293,259,284
0.980969752,260,284
0.983102516,262,285
0.985030925,263,285
0.986932992,264,286
0.988945648,265,286
0.99102616,266,287
0.992977346,268,287
0.994962879,269,288
0.996899867,270,289
0.999044061,271,290
1.000940733,272,290
1.002989555,273,291
1.004863206,273,292
1.006884157,274,293
1.008916617,274,294
1.010880559,275,295
1.012869707,275,296
1.014914775,275,297
1.016872424,275,298
1.01895201,275,299
1.020972965,275,300
1.02284745,275,301
1.024891823,275,303
1.026851181,275,304
1.028818124,275,305
1.030880958,274,306
1.032830004,274,308
1.034910949,274,309
1.036818511,274,311
1.038852155,274,312
1.040854029,274,314
1.042927982,274,315
1.044896032,274,316
1.046821041,274,318
1.048854905,274,319
1.051064238,274,321
1.053109921,275,322
1.054890978,275,323
1.056833992,276,325
1.058763617,276,326
1.060857942,277,327
1.062789933,277,328
1.064871852,278,330
1.066801213,279,331
1.068832166,279,332
1.070784947,280,333
1.072800588,281,334
1.074741328,283,335
1.076672057,284,336
1.078721957,285,336
1.080703151,286,337
1.082728684,288,337
1.084752678,290,338
1.086715684,292,339
1.088703093,293,339
1.09068916,295,339
1.092737926,297,340
1.094742768,299,340
1.096772577,301,341
1.098734266,303,341
1.1007791,304,341
1.102863619,306,341
1.104775057,307,342
1.106770797,309,342
1.108788726,311,342
1.11077307,313,342
1.112736347,314,343
1.114752756,316,343
1.116728305,318,343
1.118842513,319,343
1.120831597,321,343
1.122734972,323,344
1.124779533,324,344
1.126686168,326,344
1.128730507,327,345
1.130703835,328,345
1.132723929,329,345
1.134722774,330,346
1.136746312,330,347
1.138706068,331,347
1.140773707,331,348
1.142791864,332,348
1.144739058,332,349
1.146737563,332,350
1.148772512,332,350
1.150744435,332,351
1.152738817,332,352
1.154771612,332,353
1.156762234,332,354
1.158732081,332,355
1.160728796,331,356
1.162684505,331,356
1.164688989,331,358
1.166770806,330,360
1.168845811,330,361
1.170742339,330,362
1.172831518,329,363
1.174647491,329,365
1.176649312,328,366
1.178635079,328,367
1.180648828,327,368
1.18263656,327,370
1.184719374,327,371
1.186790373,326,373
1.188625865,326,374
1.190617838,326,375
1.192599404,326,377
1.194592485,326,379
1.196606959,326,380
1.198558385,326,381
1.200623648,326,383
1.202640156,326,384
1.204681527,327,386
1.206632169,327,387
1.208608426,327,388
1.210605333,328,390
1.212619881,329,391
1.214603508,330,392
1.216599935,330,394
1.218638485,331,395
1.220678469,332,397
1.222597525,334,398
1.224563144,335,399
1.226549939,336,401
1.228574413,337,402
1.230569503,339,404
1.232584477,341,405
1.234651677,342,406
1.236598688,344,407
1.238642452,346,409
1.240590215,348,410
1.242550926,350,412
1.244518513,352,413
1.246473257,354,414
1.248482592,356,416
1.250468166,358,417
1.252572191,360,419
1.254498655,362,420
1.256505295,364,421
1.258513326,366,423
1.260526436,368,425
1.26246673,370,426
1.264507074,372,428
1.266451845,374,429
1.268472232,376,431
1.270522281,378,433
1.272505171,380,434
1.27445657,382,436
1.27642171,384,437
1.278439633,386,439
1.280437021,387,441
1.282452647,389,442
1.284417363,391,444
1.286523944,392,446
1.288450073,394,448
1.290432815,395,449
1.292446939,397,451
1.294418499,398,453
1.296430975,399,455
1.298459538,401,457
1.300428143,402,458
1.302485243,403,460
1.304404701,404,462
1.306349667,404,464
1.308401443,405,465
1.310474369,406,467
1.312403146,406,469
1.314432023,407,470
1.316433801,408,472
1.318316476,408,473
1.320335499,409,475
1.322335135,410,476
1.324277323,411,477
1.326299019,411,478
1.328375063,413,479
1.330410311,413,481
1.332345017,414,482
1.334510358,416,483
1.336497174,417,484
1.338413417,418,484
1.340341873,419,485
1.342279573,421,486
1.344301096,422,486
1.346303619,424,487
1.348357535,425,488
1.350400355,427,489
1.352933296,429,489
1.354390881,431,490
1.356289241,433,491
1.358364867,435,491
1.360249837,437,492
1.362250916,439,493
1.364248018,440,493
1.366250378,442,494
1.3682118,444,495
1.370225661,446,495
1.37222636,448,496
1.374168921,450,497
1.376214852,452,498
1.378189638,454,499
1.38026182,456,500
1.382358646,457,500
1.38432592,459,501
1.386322214,461,502
1.388259585,462,503
1.390180508,464,504
1.392207934,465,505
1.394198404,466,507
1.396266146,467,508
1.398190408,467,509
1.400236612,468,510
1.402300211,468,512
1.404206183,468,513
1.406339301,468,515
1.408185905,469,516
1.410255632,469,518
1.412195448,469,519
1.414209186,469,521
1.416219595,469,522
1.418144292,468,524
1.420254267,468,526
1.422192081,468,527
1.4241873,468,529
1.42621185,468,531
1.428102917,468,533
1.430190931,468,535
1.432316672,467,537
1.434443925,467,539
1.436277678,467,540
1.438388641,467,542
1.440206352,467,544
1.442329738,467,546
1.4441539,468,548
1.446292184,468,550
1.448128428,468,551
1.450408619,469,553
1.452284447,470,555
1.454299384,471,557
1.456106891,472,559
1.458275638,473,561
1.460102266,473,562
1.462253326,475,564
1.464182549,476,566
1.46650311,477,568
1.468256538,479,569
1.470260142,481,571
1.472101232,482,572
1.474328003,484,574
1.476099269,486,575
1.478233134,488,577
1.480092601,489,578
1.482058871,493,579
1.484176516,494,581
1.4860959,497,582
1.488076547,498,583
1.490156966,500,585
1.492092027,503,586
1.494097078,505,587
1.496087242,506,589
1.49810177,508,590
1.500119917,510,591
1.502125393,513,592
1.504109546,515,594
1.506112882,518,595
1.50809321,520,596
1.51000482,523,597
1.511997625,524,599
1.514266699,526,600
1.516083769,528,601
1.518045438,530,602
1.520074819,532,604
1.522053341,534,605
1.524017636,536,606
1.52599715,537,608
1.528019349,539,610
1.530124807,540,611
1.532007991,542,613
1.534059859,543,614
1.536018997,545,616
1.537976222,546,618
1.539926155,547,619
1.54199483,548,621
1.544118127,549,623
1.545881184,550,624
1.547894798,551,626
1.549978329,551,628
1.55207348,552,630
1.554088987,553,631
1.55600446,554,633
1.557967379,555,634
1.559892629,556,636
1.561920606,557,638
1.563889708,558,639
1.565926885,559,641
1.567897609,559,643
1.569857436,560,644
1.571832934,561,646
1.573953342,562,647
1.575860483,563,649
1.577928133,563,650
1.579872615,564,652
1.581962876,565,653
1.583892242,566,654
1.585871593,567,656
1.587865107,568,657
1.58987983,569,658
1.591794457,571,659
1.593813266,572,660
1.595785067,573,661
1.597804411,575,662
1.599826689,576,663
1.60184673,577,664
1.603859525,579,665
1.605814962,580,666
1.607795077,582,667
1.609787291,583,668
1.611799888,585,668
1.613800805,587,669
1.615826268,588,670
1.617798293,590,670
1.619871046,592,671
1.62180053,594,672
1.623776361,596,673
1.624858067,597,673
1.62678309,598,673
1.628824027,600,674
1.630817694,601,675
1.632838235,603,675
1.634812314,605,676
1.636873701,606,676
1.638779226,608,678
1.640770701,609,678
1.642750874,611,679
1.644756402,612,680
1.646797271,613,681
1.648769086,614,682
1.650857269,615,682
1.652808173,616,684
1.654804101,617,685
1.656819774,617,686
1.658771663,618,687
1.660773217,618,688
1.662745217,618,689
1.664806279,618,690
1.666805704,618,692
1.668798652,618,693
1.670775965,618,695
1.672782657,618,697
1.674699964,618,698
1.676753623,618,699
1.678700387,618,702
1.680743657,618,702
1.682733624,618,705
1.684742871,618,706
1.686750582,617,709
1.688713809,617,710
1.6907208,617,711
1.69272595,617,713
1.694704516,617,715
1.696723725,617,717
1.698725142,617,720
1.700698984,617,721
1.702667536,617,724
1.70465735,618,725
1.706656611,618,728
1.708673172,618,729
1.710633717,619,732
1.712656793,620,733
1.714638275,621,736
1.716635414,622,737
1.718631716,622,739
1.72064325,624,741
1.722638472,625,743
1.72462332,627,745
1.726644988,628,747
1.728624948,629,749
1.730652432,631,751
1.73264925,633,753
1.734618855,634,755
1.736540272,636,757
1.738547236,638,758
1.740653743,640,760
1.742647439,642,762
1.744526027,644,764
1.746571695,646,765
1.748552848,648,767
1.750588762,651,769
1.752560761,653,770
1.754575419,655,772
1.75648575,658,773
1.758537956,660,775
1.760475247,662,776
1.762546598,664,778
1.764557452,667,779
1.766542516,669,781
1.768525767,672,782
1.770513887,674,784
1.772512514,677,785
1.774553287,679,786
1.776491856,682,788
1.77851109,684,789
1.780535906,686,791
1.782533044,688,792
1.784522505,690,793
1.7863869,692,795
1.788458109,693,797
1.790408632,695,798
1.792451878,697,800
1.794456709,699,801
1.796451482,700,802
1.798425012,702,804
1.800402916,704,806
1.802431533,705,808
1.804460593,706,809
1.806450808,708,811
1.808424016,709,813
1.810393017,710,815
1.812408582,711,817
1.814438611,713,818
1.816383963,713,820
1.818401139,714,822
1.82038586,715,824
1.822389451,716,826
1.824391752,717,828
1.826341375,718,830
1.828380406,719,832
1.830332437,720,834
1.832364309,720,836
1.834331318,721,837
1.836454506,722,840
1.838321574,723,842
1.840327792,724,844
1.84230168,725,846
1.844329298,725,848
1.84631755,726,850
1.848307849,727,852
1.850307076,728,854
1.852296488,729,856
1.854306758,730,858
1.856269219,731,860
1.858318884,733,863
1.860417252,734,865
1.862316044,736,867
1.864286694,737,868
1.866318376,738,871
1.86829234,740,873
1.870300505,741,874
1.872293813,743,876
1.874294513,745,878
1.876303424,747,880
1.878343208,749,882
1.880295302,751,884
1.882381375,753,886
1.884313619,754,888
1.886280315,757,890
