time_s,rel_field.data2,rel_field.data3
0.0,0,0
0.00199956,0,0
0.003954637,0,0
0.005985174,0,0
0.007982558,0,0
0.009986433,0,0
0.012006774,0,0
0.014064549,0,0
0.016017474,0,0
0.018037726,0,0
0.02002303,0,0
0.022022759,0,0
0.024012097,0,0
0.025959064,0,0
0.028032542,0,0
0.030012456,0,0
0.032004594,0,0
0.03398927,0,0
0.03595842,0,0
0.038017393,0,0
0.039961839,0,0
0.041982924,0,0
0.043976895,0,0
0.045962614,0,0
0.047941444,0,0
0.049939722,0,0
0.051943435,0,0
0.053933936,0,1
0.055955166,0,1
0.057926311,0,1
0.059907926,0,1
0.061937398,0,1
0.063910629,1,1
0.065943063,1,1
0.067954674,1,1
0.069962121,2,1
0.071921377,2,1
0.073937844,2,1
0.075944848,2,1
0.077893019,2,1
0.079946707,2,1
0.081884889,2,1
0.08390069,2,1
0.085872611,2,1
0.087869594,3,1
0.089853679,3,1
0.091886031,3,1
0.09394618,4,1
0.095935854,4,1
0.097927621,4,1
0.099984713,4,1
0.101979464,4,1
0.103980913,5,1
0.105906124,5,1
0.107911092,5,1
0.109820009,6,1
0.111849758,6,1
0.113799749,6,1
0.115853004,7,1
0.117806335,7,1
0.119847775,9,1
0.121793979,9,1
0.123825815,9,1
0.125783366,9,1
0.127831268,10,1
0.129802058,10,1
0.131887798,11,1
0.133828553,11,1
0.135797087,12,1
0.137824381,12,1
0.13980824,13,1
0.141756483,13,1
0.143809675,14,1
0.145727653,15,1
0.147736294,15,1
0.149729754,16,1
0.151919204,16,1
0.153783991,16,1
0.155921319,17,1
0.157751873,18,1
0.159904553,19,1
0.161769835,19,1
0.16386206,20,1
0.165737916,20,2
0.167738061,21,2
0.169732829,22,2
0.17174037,22,2
0.173702832,24,2
0.175675198,24,3
0.177726399,25,3
0.179763024,25,3
0.181653098,26,4
0.18368094,27,4
0.185696834,28,5
0.187657072,29,5
0.189656912,30,6
0.191727018,30,6
0.193695809,31,7
0.195650947,32,7
0.197701272,33,8
0.199714138,34,8
0.201643755,35,9
0.203697904,36,10
0.205626548,36,11
0.207667103,37,11
0.209667921,38,12
0.211646025,39,13
0.213659888,40,13
0.21568567,41,14
0.217737485,42,15
0.219764012,43,15
0.22167232,44,16
0.223644693,45,17
0.225643935,46,18
0.227694253,47,19
0.22993966,48,19
0.231611963,48,20
0.23384248,50,21
0.235587868,50,21
0.237590062,51,23
0.239642659,52,23
0.241628683,53,24
0.243586741,54,25
0.245554164,55,26
0.247576406,55,27
0.249551832,56,28
0.251621483,56,29
0.253610748,56,30
0.255621996,56,31
0.257578515,56,33
0.259572831,56,34
0.261548595,56,35
0.263684709,55,37
0.26557698,55,38
0.267590234,54,40
0.269549489,53,42
0.271590709,53,43
0.273651499,52,44
0.275596821,51,46
0.277593314,51,48
0.279516249,50,50
0.281541457,49,52
0.28355539,49,53
0.285548022,48,55
0.287546367,47,58
0.289581411,47,60
0.291544906,46,62
0.293528232,45,63
0.295513446,45,65
0.29752001,44,67
0.299532676,44,69
0.301490332,43,71
0.303496699,43,72
0.305462298,42,74
0.307463427,42,76
0.309501946,42,78
0.311493785,42,80
0.313510546,42,81
0.315480593,42,83
0.317467242,43,85
0.319481483,44,86
0.321478857,44,88
0.323461612,46,89
0.325469483,47,91
0.327465716,48,92
0.329404705,50,94
0.331499659,52,95
0.33338436,53,97
0.335436769,55,98
0.3373779,58,99
0.339398094,60,101
0.341399691,62,102
0.343438509,65,103
