%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1754204484835381618,0,3807,3942,84,1683
1754204484837375395,0,3807,3942,84,1683
1754204484839238299,0,3807,3943,84,1683
1754204484841235103,0,3807,3943,84,1682
1754204484843241968,0,3807,3943,84,1682
1754204484845274568,0,3807,3943,84,1682
1754204484847295777,0,3807,3944,84,1682
1754204484849280678,0,3807,3944,84,1682
1754204484851250920,0,3807,3945,84,1681
1754204484853295954,0,3807,3945,84,1681
1754204484855285471,0,3807,3946,84,1681
1754204484857271546,0,3807,3946,84,1681
1754204484859300194,0,3807,3947,84,1681
1754204484861270169,0,3807,3947,84,1682
1754204484863245652,0,3807,3948,84,1682
1754204484865247869,0,3807,3948,84,1682
1754204484867284600,0,3807,3948,84,1682
1754204484869208182,0,3807,3948,84,1682
1754204484871193370,0,3807,3948,84,1682
1754204484873164354,0,3807,3948,84,1682
1754204484875167953,0,3808,3947,84,1682
1754204484877195078,0,3808,3947,84,1682
1754204484879144818,0,3808,3947,84,1682
1754204484881190521,0,3808,3946,84,1682
1754204484883184726,0,3808,3946,84,1682
1754204484885176586,0,3808,3945,84,1682
1754204484887188916,0,3808,3945,84,1682
1754204484889168960,0,3808,3944,84,1682
1754204484891270736,0,3808,3944,84,1682
1754204484893303543,0,3808,3943,84,1682
1754204484895249237,0,3809,3943,84,1682
1754204484897182395,0,3808,3943,84,1682
1754204484899117132,0,3809,3942,84,1682
1754204484901103589,0,3809,3942,84,1682
1754204484903101850,0,3809,3942,84,1682
1754204484905093302,0,3809,3942,84,1682
1754204484907168280,0,3810,3942,84,1682
1754204484909142969,0,3810,3943,84,1682
1754204484911186703,0,3810,3943,84,1682
1754204484913289980,0,3810,3943,84,1682
1754204484915233019,0,3810,3943,84,1682
1754204484917169224,0,3811,3944,84,1682
1754204484919196454,0,3811,3945,84,1681
1754204484921199844,0,3810,3945,85,1682
1754204484923157225,0,3810,3946,85,1681
1754204484925213076,0,3811,3947,85,1681
1754204484927186378,0,3811,3948,85,1681
1754204484929125860,0,3811,3948,85,1681
1754204484931134532,0,3811,3949,85,1681
1754204484933141185,0,3811,3950,85,1681
1754204484935043044,0,3811,3950,85,1681
1754204484937045391,0,3811,3951,85,1681
1754204484939043740,0,3811,3952,86,1681
1754204484941058591,0,3811,3953,86,1681
1754204484943115488,0,3811,3953,86,1681
1754204484945063025,0,3811,3954,86,1682
1754204484947045332,0,3811,3955,86,1682
1754204484949294507,0,3811,3956,87,1681
1754204484951028059,0,3811,3956,87,1681
1754204484953018505,0,3811,3957,87,1682
1754204484955003125,0,3811,3957,87,1682
1754204484956955815,0,3811,3958,87,1682
1754204484959032435,0,3811,3958,87,1682
1754204484960961744,0,3811,3958,87,1682
1754204484963011150,0,3812,3959,87,1682
1754204484965013084,0,3812,3959,87,1682
1754204484967011285,0,3812,3959,87,1682
1754204484968974879,0,3813,3960,87,1682
1754204484971000352,0,3813,3960,87,1682
1754204484972987897,0,3813,3961,87,1682
1754204484974989480,0,3814,3961,87,1682
1754204484977033239,0,3814,3961,87,1682
1754204484979030762,0,3814,3961,88,1682
1754204484981081713,0,3814,3962,88,1682
1754204484982973764,0,3815,3962,88,1682
1754204484985034541,0,3815,3962,88,1682
1754204484986933891,0,3815,3962,88,1682
1754204484988932522,0,3816,3962,88,1682
1754204484990964066,0,3816,3962,88,1682
1754204484992953804,0,3816,3962,88,1682
1754204484994993871,0,3817,3962,88,1682
1754204484996926781,0,3817,3962,88,1682
1754204484999019636,0,3817,3962,88,1682
1754204485000963937,0,3818,3962,89,1682
1754204485003125481,0,3818,3962,89,1682
1754204485005085946,0,3818,3962,89,1682
1754204485007046198,0,3819,3962,89,1683
1754204485009066235,0,3819,3961,89,1682
1754204485011131215,0,3820,3961,89,1683
1754204485013035581,0,3820,3961,90,1683
1754204485014977357,0,3820,3961,90,1683
1754204485016925630,0,3821,3961,90,1683
1754204485018929377,0,3821,3960,90,1683
1754204485020941653,0,3821,3960,91,1683
1754204485022954221,0,3822,3960,91,1683
1754204485024967659,0,3822,3960,91,1683
1754204485026993890,0,3822,3960,91,1683
1754204485028952023,0,3822,3960,92,1683
1754204485031137768,0,3822,3960,92,1684
1754204485032923205,0,3823,3960,92,1684
1754204485035037669,0,3823,3959,93,1684
1754204485036945848,0,3823,3960,94,1684
1754204485038961081,0,3823,3960,94,1684
1754204485040968254,0,3823,3960,94,1684
1754204485042889199,0,3824,3960,94,1684
1754204485044869767,0,3824,3960,95,1684
1754204485046898871,0,3824,3961,95,1684
1754204485048995712,0,3824,3961,96,1684
1754204485050999500,0,3825,3961,96,1684
1754204485053005424,0,3825,3962,97,1685
