%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1754275020420216752,0,0,0,0,0
1754275020422077843,0,0,0,0,0
1754275020423973824,0,0,0,0,0
1754275020425987577,0,0,0,0,0
1754275020428112166,0,1,0,0,1
1754275020429974346,0,1,0,0,1
1754275020432012893,0,1,1,0,1
1754275020434009718,0,1,1,0,1
1754275020436004177,0,1,1,0,1
1754275020437948388,0,1,1,1,2
1754275020439969982,0,1,1,1,2
1754275020441969700,0,1,1,1,2
1754275020443969179,0,1,1,1,2
1754275020445964949,0,1,1,2,2
1754275020447952583,0,1,1,2,2
1754275020449976575,0,1,1,2,3
1754275020452042279,0,1,2,2,3
1754275020454102058,0,1,2,3,3
1754275020456019923,0,1,3,3,3
1754275020458050459,0,1,3,3,3
1754275020459901828,0,1,3,4,3
1754275020462027697,0,1,4,4,3
1754275020463992544,0,1,4,4,3
1754275020465998917,0,1,4,4,3
1754275020467995899,0,1,5,5,3
1754275020470004267,0,2,5,5,3
1754275020471999305,0,2,5,6,3
1754275020473033497,0,2,5,6,3
1754275020475023445,0,2,6,6,3
1754275020477026159,0,2,6,6,3
1754275020479056316,0,2,6,6,3
1754275020480944833,0,2,6,7,3
1754275020482981277,0,2,6,7,3
1754275020484988147,0,2,6,7,3
1754275020487030941,0,3,6,7,3
1754275020488988032,0,3,6,8,3
1754275020491020422,0,3,6,8,3
1754275020493066597,0,3,6,8,3
1754275020494996595,0,3,6,8,3
1754275020496983273,0,4,6,8,3
1754275020499025668,0,4,6,9,3
1754275020500904180,0,4,6,9,3
1754275020502949222,0,4,6,9,3
1754275020504900440,0,5,6,9,3
1754275020506925609,0,5,6,9,4
1754275020508844068,0,6,6,9,4
1754275020510845121,0,6,6,9,4
1754275020512877580,0,6,6,9,4
1754275020514855520,0,7,5,9,5
1754275020516831543,0,8,5,9,5
1754275020518969869,0,8,5,9,5
1754275020520876253,0,9,5,9,5
1754275020522861670,0,10,5,9,5
1754275020524854269,0,10,4,9,6
1754275020526834792,0,11,5,9,6
1754275020528779681,0,11,4,9,6
1754275020530778733,0,12,5,9,7
1754275020532806210,0,12,5,9,7
1754275020534793258,0,13,5,9,7
1754275020536836445,0,13,5,9,7
1754275020538812361,0,14,5,10,7
1754275020540812175,0,15,5,10,8
1754275020542810185,0,15,5,10,8
1754275020544865136,0,16,5,10,8
1754275020546815079,0,16,5,10,8
1754275020548828035,0,17,5,11,8
1754275020550765981,0,17,5,11,8
1754275020552821789,0,17,5,12,9
1754275020554766726,0,17,5,12,9
1754275020556798194,0,17,6,12,9
1754275020558727911,0,17,6,13,9
1754275020560785583,0,17,6,13,9
1754275020562809864,0,17,6,14,9
1754275020564758187,0,17,6,15,9
1754275020566796884,0,17,7,15,9
1754275020568795048,0,17,7,16,9
1754275020570760174,0,17,8,16,9
1754275020572769036,0,17,8,17,9
1754275020574790659,0,17,9,18,10
1754275020576740296,0,17,9,18,9
1754275020578717077,0,17,10,19,10
1754275020580717319,0,17,10,19,10
1754275020582748152,0,17,11,20,10
1754275020584741150,0,17,11,20,10
1754275020586680925,0,17,12,21,10
1754275020588703435,0,17,13,22,10
1754275020590720001,0,17,14,22,10
1754275020592752260,0,18,14,22,10
1754275020594739977,0,18,15,23,10
1754275020596775958,0,18,16,23,11
1754275020598766388,0,18,17,24,11
1754275020600686119,0,18,18,24,11
1754275020602705969,0,18,18,25,11
1754275020604693067,0,18,19,25,12
1754275020606656234,0,18,20,25,12
1754275020608743093,0,19,21,25,12
1754275020610703197,0,19,22,25,12
1754275020612661341,0,19,23,25,13
1754275020614638514,0,20,24,25,13
1754275020616736266,0,20,24,25,13
1754275020618712863,0,20,24,25,13
1754275020620648817,0,20,25,25,14
1754275020622723053,0,21,25,25,14
1754275020624675015,0,22,25,25,14
1754275020626670130,0,22,24,25,15
1754275020628645208,0,23,24,26,15
1754275020630653740,0,23,24,26,15
1754275020632570303,0,24,24,26,16
1754275020634677122,0,24,23,26,16
1754275020636570965,0,25,22,26,16
1754275020638656134,0,26,22,26,16
1754275020640571453,0,26,21,27,17
1754275020642675381,0,27,21,27,17
1754275020644681250,0,28,21,27,17
1754275020646730636,0,29,20,27,18
1754275020648660532,0,29,20,28,18
1754275020650612835,0,30,19,28,19
1754275020652651131,0,31,19,29,19
1754275020654672872,0,31,19,29,20
1754275020656618065,0,32,19,29,20
1754275020658583035,0,33,19,30,21
1754275020660535907,0,33,19,30,21
1754275020662596528,0,33,19,30,22
1754275020664608708,0,34,19,31,22
1754275020666607924,0,34,19,31,22
1754275020668639653,0,35,20,32,22
1754275020670612358,0,35,20,33,22
1754275020672591613,0,36,21,33,22
1754275020674582369,0,36,21,33,22
1754275020676572403,0,37,22,34,22
1754275020678570665,0,37,23,34,22
1754275020680572926,0,38,24,35,22
1754275020682574175,0,39,24,35,22
1754275020684578813,0,39,25,36,23
1754275020686536525,0,40,26,37,23
1754275020688501709,0,41,27,37,23
1754275020690526952,0,41,28,37,24
1754275020692567059,0,41,28,37,25
1754275020694582571,0,42,29,37,25
1754275020696578864,0,43,30,37,26
1754275020698521659,0,43,32,37,27
1754275020700523642,0,43,33,37,28
1754275020702525927,0,44,34,37,29
1754275020704521160,0,44,35,37,30
1754275020706532387,0,45,36,37,31
1754275020708517798,0,45,37,36,32
1754275020710555161,0,46,38,36,33
1754275020712545954,0,46,39,35,35
1754275020714498670,0,47,41,35,36
1754275020716533555,0,48,42,35,37
1754275020718542532,0,48,43,34,38
1754275020720493487,0,49,43,34,40
1754275020722480969,0,50,44,33,41
